Chemical 1,Chemical 2,Similarity
DB02691,DB01224,1
DB00795,DB00553,1
DB00989,DB00260,1
DB01009,DB00730,1
DB00441,DB01008,1
DB00563,DB01222,1
DB00675,DB00277,1
DB00176,DB00325,1
DB00415,DB00716,1
DB00468,DB00492,1
DB01933,DB00252,1
DB00914,DB00178,1
DB00141,DB01407,1
DB01076,DB00541,1
DB01023,DB00853,1
DB00630,DB00492,1
DB01174,DB02709,1
DB01017,DB00297,1
DB00883,DB00860,1
DB00857,DB00127,1
DB01241,DB00331,1
DB01429,DB00704,1
DB01094,DB00758,1
DB00316,DB04381,1
DB02375,DB03760,1
DB00753,DB01080,1
DB00245,DB00178,1
DB00331,DB01752,1
DB03566,DB01110,1
DB01586,DB01696,1
DB01698,DB02527,1
DB00331,DB00588,1
DB02010,DB01590,1
DB01054,DB00799,1
DB01181,DB04741,1
DB00224,DB00958,1
DB04751,DB00921,1
DB00334,DB01393,1
DB00289,DB01216,1
DB00834,DB01098,1
DB01181,DB00694,1
DB00197,DB00307,1
DB00533,DB01348,1
DB00370,DB01036,1
DB04258,DB00428,1
DB01262,DB03760,1
DB01268,DB00091,1
DB00903,DB00399,1
DB00169,DB00571,1
DB00401,DB02587,1
DB00378,DB02539,1
DB04824,DB00204,1
DB00313,DB00741,1
DB04173,DB01236,1
DB00583,DB00300,1
DB00428,DB02379,1
DB00369,DB01113,1
DB00831,DB00947,1
DB01586,DB00331,1
DB00179,DB01645,1
DB00245,DB01221,1
DB00254,DB00193,1
DB01167,DB01017,1
DB01115,DB01599,1
DB00673,DB04557,1
DB00829,DB01452,1
DB04743,DB00457,1
DB00709,DB00364,1
DB00400,DB00917,1
DB00268,DB00866,1
DB00970,DB01162,1
DB00281,DB01454,1
DB01132,DB00363,1
DB00475,DB00320,1
DB01029,DB00704,1
DB00730,DB01222,1
DB00243,DB00633,1
DB01080,DB01154,1
DB04557,DB03796,1
DB02210,DB00731,1
DB04551,DB00140,1
DB00208,DB01348,1
DB01645,DB01097,1
DB00431,DB00518,1
DB00136,DB00675,1
DB01076,DB00328,1
DB01220,DB01013,1
DB00472,DB00819,1
DB01057,DB00368,1
DB00338,DB01577,1
DB04381,DB01698,1
DB02691,DB00281,1
DB01234,DB00490,1
DB01008,DB00967,1
DB02901,DB00951,1
DB00988,DB00619,1
DB01370,DB00250,1
DB00403,DB04173,1
DB04173,DB00759,1
DB01393,DB00240,1
DB01698,DB00831,1
DB00920,DB00260,1
DB04485,DB00758,1
DB01199,DB01407,1
DB00401,DB00273,1
DB00572,DB00825,1
DB01393,DB00571,1
DB00626,DB01262,1
DB00254,DB00515,1
DB00648,DB00091,1
DB02056,DB00370,1
DB01184,DB00996,1
DB00115,DB01036,1
DB00678,DB01394,1
DB00391,DB00759,1
DB01115,DB02546,1
DB00783,DB00300,1
DB00206,DB00515,1
DB02325,DB00220,1
DB00720,DB00388,1
DB00222,DB01273,1
DB00855,DB01200,1
DB00331,DB01348,1
DB01576,DB00682,1
DB01262,DB00151,1
DB01073,DB00740,1
DB00668,DB00197,1
DB00897,DB00716,1
DB00170,DB00388,1
DB00331,DB00400,1
